Sort,Size,trial_time,trial number
BubbleSort,250,5.623737970987956,2000
BubbleSort,500,32.02970822652181,2000
BubbleSort,1000,128.92762819925943,2000
CountingSort,250,0.09624163309733073,2000
CountingSort,500,0.33863385518391925,2000
CountingSort,1000,0.35834312438964844,2000
insertionSort,250,2.801020940144857,2000
insertionSort,500,13.193209966023764,2000
insertionSort,1000,74.56016540527344,2000
mergeSort,250,0.9600321451822916,2000
mergeSort,500,2.5060176849365234,2000
mergeSort,1000,5.197604497273763,2000
quickSort,250,0.8155504862467448,2000
quickSort,500,2.072890599568685,2000
quickSort,1000,5.439917246500651,2000
